Food Item,Serving Size (g),Calories (kcal),Dietary preference,Allergens,Glycemic Index,Protein (g),Carbs (g),Fats (g),Meal Type
Pistachios,318,514,Vegetarian,Dairy,59,19.83,31.62,35.86,Breakfast
Almonds,269,557,Vegetarian,Gluten,15,21.08,22.12,35.88,Lunch
Cantaloupe,380,315,Vegetarian,None,69,38.21,70.43,46.9,Snack
Apricots,428,575,Vegetarian,Shellfish,57,10.84,20.3,48.78,Breakfast
Onions,216,371,Vegetarian,Gluten,37,24.11,48.29,37.31,Snack
Soy Milk,198,169,Vegetarian,Dairy,38,22.55,74.18,35.86,Breakfast
Zucchini,231,533,Vegetarian,Nuts,82,10.26,33.94,45.32,Snack
Cashews,263,670,Vegetarian,Dairy,15,34.25,65.18,32.97,Lunch
Nectarines,216,615,Vegetarian,Dairy,29,1.6,96.73,38.93,Breakfast
Kale,312,384,Vegetarian,Dairy,23,35.61,50.43,27.13,Breakfast
Radishes,403,445,Vegetarian,Shellfish,48,32.79,54.96,23.98,Lunch
Rice Milk,397,288,Vegetarian,Gluten,41,15.91,96.73,1.76,Snack
Potatoes,342,536,Vegetarian,Shellfish,64,10.84,61.67,10.61,Lunch
Seitan,397,520,Vegetarian,Dairy,94,12.89,77.52,20.59,Snack
Blueberries,333,384,Vegetarian,Gluten,43,15.22,56.73,3.1,Snack
Parsnips,202,156,Vegetarian,Dairy,82,1.06,53.8,28.8,Lunch
Tomatoes,147,469,Vegetarian,None,77,39.32,90.1,10.49,Dinner
Potatoes,138,346,Vegetarian,Dairy,95,25.05,73.3,12.36,Dinner
Bananas,98,637,Vegetarian,Gluten,86,8.48,22.12,38.93,Breakfast
Bell Peppers,217,227,Vegetarian,Shellfish,87,42.95,88.15,7.29,Breakfast
Chickpeas,385,616,Vegetarian,Dairy,59,32.06,87.68,35.73,Breakfast
Milk,340,422,Vegetarian,Gluten,32,28.47,73.93,19.8,Dinner
Carrot,333,671,Vegetarian,Shellfish,99,1.6,31.14,28.0,Breakfast
Jalapenos,294,288,Vegetarian,None,97,11.89,28.17,49.9,Dinner
Oat,174,144,Vegetarian,Shellfish,88,35.08,0.56,1.76,Breakfast
Watermelon,453,664,Vegetarian,Dairy,15,45.45,96.08,40.03,Breakfast
Lentils,403,175,Vegetarian,Dairy,71,44.63,53.8,14.17,Dinner
Barley,229,662,Vegetarian,Shellfish,92,34.7,30.76,27.36,Snack
Onions,174,582,Vegetarian,Shellfish,80,19.11,44.23,38.81,Dinner
Oat,160,422,Vegetarian,Gluten,37,35.95,41.39,37.31,Snack
Grapes,499,670,Vegetarian,Gluten,72,5.23,70.21,30.15,Lunch
Oat,68,529,Vegetarian,Dairy,55,46.26,35.38,18.81,Dinner
Zucchini,419,435,Vegetarian,Shellfish,78,3.29,61.17,19.8,Snack
Strawberries,372,375,Vegetarian,None,41,38.21,0.56,38.93,Snack
Peaches,124,564,Vegetarian,Nuts,27,35.3,94.85,1.18,Dinner
Lentils,462,213,Vegetarian,Dairy,21,19.11,74.18,48.78,Snack
Walnuts,463,117,Vegetarian,Dairy,88,32.61,92.11,33.06,Lunch
Watermelon,428,671,Vegetarian,Gluten,10,5.73,64.65,45.32,Snack
Sweet Potatoes,372,536,Vegetarian,Shellfish,64,5.73,65.18,38.97,Dinner
Shallots,451,677,Vegetarian,Dairy,21,33.12,21.8,13.39,Snack
Tempeh,298,615,Vegetarian,Shellfish,12,34.25,87.26,33.06,Lunch
Pumpkin,98,234,Vegetarian,Dairy,11,8.48,55.33,47.79,Lunch
Tomatoes,298,619,Vegetarian,Dairy,93,33.96,61.17,28.42,Snack
Cashews,451,54,Vegetarian,None,32,46.26,44.23,10.49,Breakfast
Shrimp,230,369,Non-Vegetarian,Shellfish,29,11.2,87.68,10.15,Snack
Peaches,200,369,Vegetarian,Gluten,26,9.38,70.43,6.62,Lunch
Pork,76,287,Non-Vegetarian,Nuts,41,19.19,20.3,19.8,Lunch
Almonds,364,435,Vegetarian,Dairy,43,34.7,48.79,12.69,Snack
Cheese,421,224,Vegetarian,Shellfish,57,12.89,94.85,33.82,Snack
Squash,217,396,Vegetarian,Gluten,98,15.91,30.76,32.33,Lunch
Grapes,229,570,Vegetarian,Dairy,21,46.26,21.8,25.63,Dinner
Strawberries,364,375,Vegetarian,Gluten,94,3.99,45.71,33.82,Dinner
Scallions,239,360,Vegetarian,Gluten,93,31.73,43.46,35.88,Breakfast
Garlic,206,536,Vegetarian,Gluten,78,37.8,74.18,33.82,Lunch
Butter,147,92,Vegetarian,None,29,11.62,18.2,38.93,Breakfast
Oat,87,615,Vegetarian,Gluten,78,44.65,20.3,23.91,Lunch
Tuna,174,169,Non-Vegetarian,Dairy,21,34.25,26.0,12.69,Lunch
Pumpkin,463,536,Vegetarian,Nuts,59,19.19,45.71,19.06,Snack
Egg,253,435,Non-Vegetarian,None,27,35.3,96.08,26.44,Lunch
Cherries,311,470,Vegetarian,Shellfish,15,32.79,34.29,24.78,Dinner
Garlic,403,677,Vegetarian,Dairy,23,46.26,77.52,38.86,Dinner
Potatoes,71,512,Vegetarian,Shellfish,20,24.11,45.79,16.68,Dinner
Tofu,403,284,Vegetarian,Shellfish,59,9.38,61.17,38.81,Dinner
Butter,207,144,Vegetarian,Dairy,23,25.33,61.15,12.36,Dinner
Cashews,239,532,Vegetarian,Gluten,97,25.33,28.17,7.68,Lunch
Yogurt,266,422,Vegetarian,Nuts,27,41.16,26.0,38.86,Lunch
Papaya,266,440,Vegetarian,Dairy,21,42.95,89.74,33.82,Snack
Blackberries,318,430,Vegetarian,Nuts,52,45.04,48.29,29.3,Snack
Wheat,94,536,Vegetarian,None,23,30.68,28.35,26.02,Dinner
Quinoa,461,375,Vegetarian,Shellfish,15,41.16,78.88,16.11,Breakfast
Peanuts,385,238,Vegetarian,Shellfish,59,34.7,64.62,1.76,Breakfast
Turnips,449,360,Vegetarian,Nuts,82,35.95,37.02,16.11,Dinner
Watermelon,67,617,Vegetarian,Nuts,64,37.8,45.45,19.06,Lunch
Peaches,397,318,Vegetarian,Shellfish,95,41.16,18.2,25.63,Dinner
Broccoli,133,416,Vegetarian,Dairy,99,22.58,92.11,27.36,Snack
Blackberries,442,616,Vegetarian,Gluten,98,19.83,42.27,35.86,Snack
Broccoli,318,243,Vegetarian,Gluten,78,41.67,73.3,1.76,Snack
Potatoes,174,169,Vegetarian,Dairy,23,3.99,55.33,12.48,Lunch
Honeydew,253,440,Vegetarian,Nuts,38,41.16,20.3,1.18,Dinner
Tomatoes,499,306,Vegetarian,None,54,47.53,21.8,47.05,Lunch
Almonds,342,227,Vegetarian,Gluten,44,19.83,37.52,35.73,Lunch
Strawberries,334,239,Vegetarian,Gluten,32,44.47,65.18,35.86,Breakfast
Milk,193,692,Vegetarian,Shellfish,23,8.48,33.94,33.06,Lunch
Tuna,193,416,Non-Vegetarian,Dairy,15,33.13,64.65,30.15,Breakfast
Cherries,216,234,Vegetarian,Shellfish,90,19.11,96.73,33.82,Snack
Chickpeas,461,133,Vegetarian,Dairy,23,3.99,33.94,16.02,Breakfast
Seitan,449,384,Vegetarian,Gluten,78,40.52,37.52,27.13,Lunch
Duck,239,670,Non-Vegetarian,Dairy,87,9.36,69.92,31.39,Breakfast
Coconut Milk,147,536,Vegetarian,Dairy,26,22.58,48.79,47.79,Dinner
Mango,206,96,Vegetarian,Gluten,72,22.58,0.56,42.88,Dinner
Mushrooms,217,650,Vegetarian,None,24,16.23,97.12,12.56,Snack
Almonds,405,399,Vegetarian,Dairy,27,21.08,55.32,45.32,Dinner
Bananas,406,158,Vegetarian,Shellfish,19,35.95,2.07,38.81,Breakfast
Blueberries,68,288,Vegetarian,Gluten,43,8.48,15.2,44.12,Snack
Walnuts,442,238,Vegetarian,None,44,16.23,45.45,37.31,Lunch
Macadamia,333,234,Vegetarian,None,49,39.18,53.8,19.06,Dinner
Egg,372,384,Non-Vegetarian,Shellfish,49,30.55,87.67,38.81,Snack
Shallots,174,156,Vegetarian,Gluten,92,27.65,94.85,26.02,Snack
Chickpeas,192,459,Vegetarian,Nuts,80,44.65,22.12,30.15,Breakfast
Lamb,385,459,Non-Vegetarian,None,58,11.2,64.62,0.6,Snack
Peas,298,692,Vegetarian,Dairy,87,18.93,44.23,42.88,Breakfast
Pumpkin,351,512,Vegetarian,Shellfish,64,41.54,61.15,6.62,Snack
Seitan,421,677,Vegetarian,None,79,33.13,30.76,28.42,Snack
Oranges,174,144,Vegetarian,Nuts,75,30.55,61.17,1.4,Snack
Butter,449,361,Vegetarian,Gluten,10,41.67,89.42,28.8,Lunch
Garlic,206,306,Vegetarian,Dairy,36,47.53,31.62,12.69,Lunch
Bell Peppers,385,92,Vegetarian,Nuts,77,21.08,99.09,47.79,Lunch
Walnuts,297,86,Vegetarian,None,32,2.1,32.79,49.9,Dinner
Lentils,419,556,Vegetarian,None,54,22.58,50.43,25.01,Snack
Rice Milk,427,414,Vegetarian,Shellfish,79,9.38,61.67,47.79,Dinner
Nectarines,206,396,Vegetarian,Shellfish,72,45.04,28.35,7.68,Breakfast
Cherries,462,168,Vegetarian,Gluten,88,15.91,37.5,27.36,Snack
Leeks,124,650,Vegetarian,Dairy,58,25.05,28.17,37.72,Dinner
Broccoli,138,615,Vegetarian,Gluten,29,19.19,55.32,35.88,Lunch
Cantaloupe,427,626,Vegetarian,Shellfish,69,2.1,47.67,48.05,Dinner
Barley,239,422,Vegetarian,Dairy,67,12.51,89.42,1.4,Dinner
Shallots,213,430,Vegetarian,Gluten,88,34.58,37.89,40.94,Dinner
Wheat,76,346,Vegetarian,Nuts,17,9.36,47.67,20.59,Snack
Grapes,174,360,Vegetarian,Gluten,21,2.68,69.92,19.8,Breakfast
Tomatoes,428,650,Vegetarian,Gluten,23,25.33,8.9,24.78,Snack
Pumpkin,92,325,Vegetarian,Dairy,37,47.53,0.56,28.0,Dinner
Pork,174,239,Non-Vegetarian,Nuts,80,5.23,96.73,1.18,Lunch
Zucchini,132,315,Vegetarian,Gluten,27,22.58,93.48,12.84,Breakfast
Hazelnuts,76,617,Vegetarian,Dairy,44,30.68,70.21,19.42,Lunch
Salmon,283,306,Non-Vegetarian,None,98,34.7,61.17,38.81,Lunch
Pineapple,66,459,Vegetarian,Gluten,82,28.89,45.71,10.61,Snack
Almond Milk,318,472,Vegetarian,None,86,44.65,64.65,6.44,Dinner
Raspberries,160,533,Vegetarian,Shellfish,21,18.93,30.76,16.33,Snack
Beans,217,147,Vegetarian,Shellfish,87,28.89,31.14,13.39,Breakfast
Tempeh,132,213,Vegetarian,Nuts,20,24.52,97.12,10.49,Lunch
Peaches,428,513,Vegetarian,Shellfish,72,15.87,26.0,16.11,Snack
Plums,389,224,Vegetarian,Nuts,95,7.86,97.12,38.97,Breakfast
Oat,263,440,Vegetarian,Dairy,80,33.13,47.67,30.15,Dinner
Mango,70,168,Vegetarian,Gluten,77,44.65,8.77,12.36,Snack
Soy Milk,447,416,Vegetarian,Nuts,67,39.32,78.04,14.17,Breakfast
Honeydew,206,633,Vegetarian,Gluten,90,3.45,78.53,38.81,Dinner
Oat Milk,239,422,Vegetarian,None,63,38.21,76.48,12.69,Snack
Plums,421,117,Vegetarian,Shellfish,80,19.11,61.17,7.29,Breakfast
Tempeh,380,117,Vegetarian,Gluten,47,25.33,77.52,20.59,Snack
Onions,198,670,Vegetarian,Gluten,94,20.98,80.47,23.51,Snack
Barley,202,117,Vegetarian,Nuts,21,46.53,56.39,7.29,Dinner
Carrot,297,626,Vegetarian,Gluten,23,25.05,78.02,23.91,Breakfast
Shrimp,138,435,Non-Vegetarian,Shellfish,38,3.99,0.56,27.13,Breakfast
Butter,174,650,Vegetarian,Shellfish,61,15.91,28.17,17.28,Breakfast
Plums,229,158,Vegetarian,Nuts,15,1.6,37.5,47.05,Breakfast
Turnips,213,532,Vegetarian,Shellfish,58,3.99,64.62,37.31,Snack
Salmon,312,414,Non-Vegetarian,None,69,45.45,61.15,12.84,Snack
Squash,192,575,Vegetarian,Nuts,59,46.26,90.1,19.06,Breakfast
Apricots,174,692,Vegetarian,Gluten,96,42.95,24.51,47.47,Breakfast
Oat Milk,342,459,Vegetarian,Shellfish,12,41.24,39.41,25.63,Lunch
Beetroot,449,430,Vegetarian,Dairy,47,27.65,35.73,6.44,Dinner
Coconut Milk,213,96,Vegetarian,Dairy,82,11.89,79.59,29.3,Breakfast
Broccoli,283,662,Vegetarian,Dairy,52,32.89,46.24,12.26,Lunch
Zucchini,364,459,Vegetarian,Dairy,82,33.12,93.48,32.97,Lunch
Tofu,66,213,Vegetarian,Shellfish,21,34.25,77.52,12.36,Breakfast
Nuts,275,562,Vegetarian,Dairy,63,16.94,97.12,6.62,Lunch
Onions,98,92,Vegetarian,Shellfish,29,31.73,5.68,37.31,Lunch
Mutton,451,301,Non-Vegetarian,Gluten,48,37.8,34.29,13.39,Snack
Wheat,403,616,Vegetarian,Shellfish,71,3.99,92.11,49.9,Breakfast
Seitan,207,445,Vegetarian,Shellfish,19,15.91,48.29,6.62,Dinner
Squash,207,76,Vegetarian,None,27,40.52,97.12,16.33,Dinner
Rice Milk,385,562,Vegetarian,Gluten,59,35.08,64.62,20.59,Snack
Pistachios,245,287,Vegetarian,Shellfish,64,48.14,99.09,28.0,Lunch
Cherries,405,633,Vegetarian,None,21,19.19,73.93,27.36,Dinner
Onions,154,445,Vegetarian,Gluten,41,16.23,26.0,12.36,Snack
Jalapenos,405,158,Vegetarian,Dairy,22,19.83,43.46,0.6,Dinner
Hazelnuts,245,575,Vegetarian,Gluten,44,2.68,74.31,23.12,Dinner
Oat,217,76,Vegetarian,None,88,28.47,73.12,38.38,Lunch
Pecans,427,472,Vegetarian,Dairy,11,26.11,99.26,11.66,Snack
Oat,372,617,Vegetarian,Shellfish,58,28.89,73.18,19.06,Snack
Cucumber,71,169,Vegetarian,Nuts,58,3.56,69.92,28.6,Snack
Pineapple,311,144,Vegetarian,Gluten,87,25.03,85.88,10.61,Dinner
Cheese,66,562,Vegetarian,None,87,22.55,32.79,28.8,Lunch
Parsnips,67,470,Vegetarian,Dairy,12,28.89,47.67,40.03,Dinner
Almond Milk,340,650,Vegetarian,Nuts,63,42.95,87.68,16.33,Lunch
Pistachios,283,536,Vegetarian,None,87,48.14,46.24,46.9,Dinner
Turnips,380,664,Vegetarian,Gluten,59,3.45,56.73,15.34,Snack
Butter,447,617,Vegetarian,Nuts,58,35.3,21.8,49.9,Breakfast
Apples,318,671,Vegetarian,Nuts,88,11.94,26.59,31.39,Breakfast
Walnuts,181,133,Vegetarian,None,29,14.59,64.62,23.31,Lunch
Barley,222,435,Vegetarian,None,29,11.2,8.77,38.86,Snack
Lentils,132,306,Vegetarian,Nuts,11,26.11,93.48,19.8,Breakfast
Mutton,202,619,Non-Vegetarian,Dairy,58,19.11,76.48,11.66,Snack
Grapes,380,224,Vegetarian,Dairy,97,43.4,61.67,10.93,Dinner
Shallots,239,133,Vegetarian,Gluten,44,11.2,10.73,16.68,Breakfast
Pineapple,178,536,Vegetarian,Gluten,29,20.98,47.33,15.85,Lunch
Peas,200,520,Vegetarian,None,12,38.21,55.33,38.38,Dinner
Chili Peppers,442,360,Vegetarian,Shellfish,77,46.67,73.18,35.88,Dinner
Cherries,263,213,Vegetarian,Nuts,48,35.08,37.02,13.39,Lunch
Cashews,342,677,Vegetarian,Dairy,82,2.68,61.22,42.88,Dinner
Scallions,174,92,Vegetarian,Gluten,24,40.52,93.7,19.42,Dinner
Tomatoes,327,325,Vegetarian,Gluten,69,19.64,74.31,33.06,Breakfast
Cherries,183,224,Vegetarian,Gluten,95,37.8,61.67,35.88,Dinner
Cantaloupe,318,584,Vegetarian,Nuts,78,41.16,70.43,35.88,Lunch
Mushrooms,178,606,Vegetarian,None,27,30.68,61.15,29.08,Lunch
Raspberries,351,438,Vegetarian,Shellfish,47,20.98,15.47,27.13,Breakfast
Almond Milk,245,230,Vegetarian,Dairy,43,42.95,96.73,28.0,Breakfast
Watermelon,183,399,Vegetarian,None,55,42.95,99.26,38.9,Breakfast
Pineapple,462,556,Vegetarian,Shellfish,87,45.04,26.0,23.31,Snack
Tofu,192,474,Vegetarian,Nuts,50,40.52,90.1,40.03,Lunch
Spinach,442,662,Vegetarian,None,55,47.53,43.46,1.18,Snack
Cauliflower,405,239,Vegetarian,Nuts,21,26.11,43.46,32.97,Breakfast
Mango,463,175,Vegetarian,Dairy,17,41.67,41.39,38.86,Dinner
Shallots,312,287,Vegetarian,Dairy,71,19.11,73.12,23.91,Breakfast
Pecans,138,360,Vegetarian,Shellfish,90,15.96,56.73,45.32,Breakfast
Cucumber,68,369,Vegetarian,Gluten,61,32.89,64.62,42.88,Snack
Parsnips,181,530,Vegetarian,Dairy,79,12.51,64.65,44.12,Snack
Zucchini,138,472,Vegetarian,Dairy,37,32.06,64.65,1.18,Breakfast
Onions,351,315,Vegetarian,Shellfish,78,5.73,31.14,23.98,Snack
Mutton,70,536,Non-Vegetarian,Shellfish,21,2.68,37.52,0.89,Dinner
Grapes,297,575,Vegetarian,Shellfish,52,3.51,45.53,38.38,Dinner
Chili Peppers,312,530,Vegetarian,None,26,38.21,37.96,14.36,Lunch
Walnuts,453,147,Vegetarian,Gluten,66,41.67,37.96,15.34,Snack
Oat Milk,239,557,Vegetarian,Nuts,10,15.87,28.35,0.89,Snack
Corn,245,234,Vegetarian,Dairy,59,33.12,89.42,23.31,Dinner
Tuna,98,606,Non-Vegetarian,Dairy,64,11.94,50.43,10.93,Dinner
Peas,397,169,Vegetarian,Nuts,90,34.7,32.79,10.93,Snack
Plums,372,650,Vegetarian,Shellfish,72,8.48,76.48,35.73,Snack
Macadamia,312,536,Vegetarian,None,88,34.87,99.09,25.01,Breakfast
Broccoli,87,86,Vegetarian,Shellfish,18,34.87,90.1,0.42,Dinner
Chili Peppers,397,239,Vegetarian,Gluten,98,11.94,41.39,7.68,Lunch
Radishes,269,633,Vegetarian,Dairy,30,20.98,35.73,48.78,Snack
Apples,394,662,Vegetarian,None,29,8.68,5.68,38.9,Breakfast
Chickpeas,206,213,Vegetarian,Nuts,87,16.23,28.35,13.39,Breakfast
Jalapenos,192,516,Vegetarian,None,90,16.94,92.11,10.93,Dinner
Cashews,263,414,Vegetarian,Nuts,15,41.24,79.59,26.44,Snack
Lentils,442,416,Vegetarian,Nuts,71,29.46,92.79,33.47,Lunch
Almonds,403,584,Vegetarian,None,30,12.89,10.73,38.97,Dinner
Papaya,239,556,Vegetarian,Dairy,15,40.52,28.17,32.33,Lunch
Shallots,297,117,Vegetarian,None,88,34.25,70.21,33.47,Breakfast
Carrot,229,133,Vegetarian,Nuts,10,35.3,35.73,35.86,Snack
Pistachios,94,582,Vegetarian,Shellfish,94,11.2,61.22,7.29,Breakfast
Peanuts,297,575,Vegetarian,Gluten,21,25.03,37.89,16.68,Snack
Pumpkin,297,284,Vegetarian,None,11,5.73,96.73,1.84,Breakfast
Bananas,405,384,Vegetarian,None,48,21.52,70.43,33.06,Breakfast
Lamb,87,570,Non-Vegetarian,Gluten,12,19.83,28.17,38.9,Breakfast
Oat Milk,253,564,Vegetarian,Gluten,26,30.68,43.46,1.76,Breakfast
Cucumber,192,513,Vegetarian,None,55,15.87,34.29,0.42,Breakfast
Pork,59,399,Non-Vegetarian,Shellfish,92,3.45,76.48,6.62,Lunch
Beans,442,514,Vegetarian,Gluten,48,43.4,70.21,12.26,Dinner
Pistachios,92,430,Vegetarian,Gluten,15,11.89,69.92,19.8,Breakfast
Cauliflower,192,76,Vegetarian,Dairy,48,33.13,70.21,40.94,Dinner
Tomatoes,405,96,Vegetarian,Dairy,11,40.52,41.39,44.12,Dinner
Coconut Milk,451,158,Vegetarian,Gluten,52,41.67,78.04,28.6,Snack
Pecans,269,306,Vegetarian,Nuts,59,35.65,92.11,16.33,Breakfast
Yams,269,664,Vegetarian,Nuts,11,43.4,74.31,12.26,Lunch
Tomatoes,462,243,Vegetarian,Nuts,48,25.33,76.46,42.88,Snack
Spinach,174,175,Vegetarian,Nuts,21,6.23,73.12,49.9,Dinner
Peaches,174,259,Vegetarian,Shellfish,22,35.3,99.26,38.97,Dinner
Salmon,311,529,Non-Vegetarian,Gluten,36,3.51,70.43,44.12,Lunch
Lamb,133,459,Non-Vegetarian,Nuts,27,41.54,89.42,12.84,Breakfast
Butter,462,470,Vegetarian,Nuts,38,3.99,67.69,20.59,Lunch
Shallots,266,76,Vegetarian,Dairy,82,19.11,55.32,10.49,Breakfast
Yogurt,192,234,Vegetarian,Nuts,82,21.08,2.07,15.52,Breakfast
Turnips,230,287,Vegetarian,None,78,15.22,25.38,23.12,Snack
Pecans,311,622,Vegetarian,Dairy,87,41.24,70.43,40.03,Snack
Turkey,174,414,Non-Vegetarian,None,77,3.51,55.33,37.31,Lunch
Potatoes,403,76,Vegetarian,Shellfish,29,11.94,92.79,35.86,Breakfast
Milk,318,612,Vegetarian,Nuts,15,28.89,22.28,44.12,Breakfast
Turnips,245,86,Vegetarian,Gluten,18,14.59,5.68,12.36,Breakfast
Carrot,174,470,Vegetarian,Gluten,32,46.67,96.73,15.52,Breakfast
Macadamia,92,175,Vegetarian,None,95,42.95,25.38,26.44,Breakfast
Cauliflower,385,179,Vegetarian,Gluten,44,35.3,28.31,27.36,Breakfast
Peanuts,198,650,Vegetarian,Gluten,12,19.64,31.62,48.78,Dinner
Rice Milk,68,144,Vegetarian,Nuts,96,19.76,78.04,48.05,Breakfast
Chili Peppers,154,440,Vegetarian,None,79,3.99,64.65,1.18,Lunch
Mutton,230,529,Non-Vegetarian,None,52,46.67,61.15,23.51,Dinner
Tofu,499,615,Vegetarian,None,64,6.23,28.31,38.81,Breakfast
Barley,239,615,Vegetarian,Nuts,93,35.61,37.02,7.68,Lunch
Bananas,178,557,Vegetarian,None,75,37.93,79.59,28.6,Snack
Papaya,160,612,Vegetarian,None,57,11.2,37.89,25.63,Lunch
Bell Peppers,239,239,Vegetarian,Gluten,48,45.04,37.52,14.17,Dinner
Nuts,174,86,Vegetarian,Shellfish,88,8.48,93.48,16.11,Snack
Peaches,263,435,Vegetarian,Dairy,27,41.67,61.22,1.18,Dinner
Beef,160,288,Non-Vegetarian,Nuts,38,35.65,37.5,38.97,Lunch
Grapes,222,416,Vegetarian,Nuts,17,32.61,76.46,26.02,Breakfast
Bananas,385,414,Vegetarian,Nuts,90,22.58,31.62,15.85,Lunch
Nectarines,222,306,Vegetarian,Dairy,64,11.94,70.21,1.84,Dinner
Beef,236,536,Non-Vegetarian,Dairy,88,5.23,99.09,1.4,Dinner
Kiwi,380,217,Vegetarian,Shellfish,66,33.13,75.85,18.81,Snack
Apples,397,156,Vegetarian,Dairy,87,16.94,46.24,20.59,Dinner
Scallions,311,224,Vegetarian,Nuts,96,24.52,61.17,1.84,Dinner
Pecans,298,612,Vegetarian,Shellfish,22,25.15,2.07,47.05,Dinner
Turkey,253,650,Non-Vegetarian,Gluten,21,7.86,90.1,46.9,Lunch
Kale,428,575,Vegetarian,Nuts,57,20.98,22.28,19.8,Lunch
Apricots,207,396,Vegetarian,Gluten,82,26.74,37.02,13.39,Breakfast
Mushrooms,427,416,Vegetarian,Dairy,57,43.4,61.67,15.34,Lunch
Milk,160,230,Vegetarian,Shellfish,18,16.23,61.22,26.02,Snack
Tempeh,269,54,Vegetarian,Dairy,78,15.91,73.18,17.93,Breakfast
Zucchini,372,369,Vegetarian,Gluten,57,38.21,73.3,23.91,Snack
Macadamia,160,626,Vegetarian,Dairy,44,45.04,46.24,28.42,Dinner
Broccoli,449,96,Vegetarian,None,24,33.12,26.59,35.73,Dinner
Grapes,245,301,Vegetarian,Shellfish,29,16.94,5.68,23.98,Snack
Spinach,207,459,Vegetarian,Nuts,64,19.64,87.67,0.42,Dinner
Oat Milk,206,76,Vegetarian,Nuts,99,35.65,24.51,6.62,Dinner
Blueberries,403,234,Vegetarian,Gluten,87,37.8,22.28,17.93,Breakfast
Mutton,202,179,Non-Vegetarian,Gluten,90,45.45,74.18,26.02,Breakfast
Seitan,207,371,Vegetarian,None,77,18.93,47.67,10.15,Lunch
Potatoes,447,664,Vegetarian,None,43,15.96,45.71,7.29,Lunch
Walnuts,213,227,Vegetarian,Nuts,23,5.23,33.94,25.01,Lunch
Rice,364,117,Vegetarian,Shellfish,55,41.64,20.3,48.05,Dinner
Kale,98,414,Vegetarian,Dairy,61,22.58,26.59,20.19,Snack
Shallots,462,529,Vegetarian,Nuts,29,39.32,53.8,33.82,Breakfast
Plums,462,315,Vegetarian,None,77,21.08,22.12,16.02,Lunch
Cherries,264,414,Vegetarian,Shellfish,66,12.51,92.79,23.12,Breakfast
Shrimp,442,612,Non-Vegetarian,Shellfish,88,12.89,10.73,15.85,Dinner
Almond Milk,281,384,Vegetarian,Shellfish,75,28.89,78.04,42.7,Breakfast
Shrimp,236,677,Non-Vegetarian,None,77,7.86,94.85,42.7,Lunch
Cheese,222,512,Vegetarian,Shellfish,44,15.22,47.33,17.93,Lunch
Mango,421,179,Vegetarian,Gluten,64,44.63,55.32,23.98,Lunch
Wheat,334,416,Vegetarian,Nuts,27,16.23,90.1,33.47,Breakfast
Sweet Potatoes,447,375,Vegetarian,Gluten,87,19.76,64.65,46.9,Breakfast
Beef,340,575,Non-Vegetarian,Dairy,47,26.11,93.48,10.49,Breakfast
Walnuts,253,438,Vegetarian,Nuts,21,15.22,73.12,3.1,Breakfast
Raspberries,183,133,Vegetarian,Dairy,15,32.89,31.62,38.97,Breakfast
Almond Milk,385,562,Vegetarian,None,23,41.54,45.53,40.03,Breakfast
Hazelnuts,207,530,Vegetarian,None,77,25.15,34.29,38.21,Breakfast
Cream,229,117,Vegetarian,Gluten,29,41.54,43.46,27.36,Snack
Radishes,283,175,Vegetarian,None,41,32.61,96.73,10.93,Dinner
Mango,298,556,Vegetarian,Shellfish,24,9.38,31.62,38.93,Breakfast
Potatoes,92,227,Vegetarian,None,32,39.18,55.33,28.8,Dinner
Pumpkin,174,158,Vegetarian,Dairy,98,37.8,35.38,14.17,Snack
Tempeh,192,520,Vegetarian,Nuts,71,19.19,87.67,30.15,Lunch
Almonds,264,369,Vegetarian,None,10,44.65,25.38,0.89,Snack
Zucchini,430,360,Vegetarian,Dairy,15,34.25,8.9,10.49,Snack
Blackberries,162,619,Vegetarian,Shellfish,23,11.2,96.73,20.19,Dinner
Tuna,200,670,Non-Vegetarian,Nuts,54,32.89,44.23,0.89,Lunch
Garlic,183,633,Vegetarian,Shellfish,44,9.38,64.65,27.36,Lunch
Carrot,403,557,Vegetarian,Nuts,86,41.64,56.39,22.65,Lunch
Duck,461,117,Non-Vegetarian,Gluten,49,32.61,97.12,11.66,Lunch
Grapes,462,175,Vegetarian,None,75,8.48,37.89,23.98,Lunch
Barley,147,671,Vegetarian,None,30,26.11,90.1,3.1,Lunch
Honeydew,217,230,Vegetarian,Gluten,19,12.89,20.3,16.68,Lunch
Tempeh,403,239,Vegetarian,Dairy,55,38.21,25.38,3.1,Dinner
Peaches,178,325,Vegetarian,Dairy,59,44.63,45.79,12.56,Breakfast
Tempeh,174,612,Vegetarian,Nuts,69,41.67,8.77,12.56,Snack
Mutton,318,76,Non-Vegetarian,None,30,15.22,87.68,28.6,Dinner
Tempeh,183,287,Vegetarian,None,59,8.48,99.26,18.81,Dinner
Lentils,318,529,Vegetarian,Nuts,54,2.68,93.48,0.42,Breakfast
Honeydew,206,396,Vegetarian,Gluten,41,1.6,5.68,30.15,Breakfast
Oranges,71,158,Vegetarian,Dairy,87,3.51,0.56,24.78,Breakfast
Chili Peppers,385,288,Vegetarian,None,59,2.1,8.9,25.63,Dinner
Shrimp,59,156,Non-Vegetarian,Dairy,24,19.11,15.47,20.59,Dinner
Lentils,327,512,Vegetarian,Dairy,88,35.08,80.47,28.0,Lunch
